Informazioni cronologiche,Who would you choose as winner?,Who would you choose for second place?,Who would you choose for third place?
2020/11/16 11:57:17 AM CET,marabernardi,rorondre,lordgrilo
2020/11/16 3:21:27 PM CET,Antonio-Leitao,lordgrilo,marabernardi
2020/11/17 10:40:44 PM CET,marabernardi,rorondre,kazuyamagiwa
2020/11/18 10:21:57 AM CET,lordgrilo,Antonio-Leitao,marabernardi
2020/11/18 2:29:42 PM CET,kazuyamagiwa,filco306,rorondre
2020/11/18 4:51:06 PM CET,filco306,rorondre,marabernardi
2020/11/18 7:52:16 PM CET,rorondre,filco306,marabernardi
2020/11/20 9:50:04 AM CET,Antonio-Leitao,filco306,rorondre
2020/11/21 6:47:42 PM CET,marabernardi,filco306,lordgrilo
2020/11/21 10:48:21 PM CET,rorondre,marabernardi,lordgrilo
2020/11/22 6:03:33 PM CET,marabernardi,kazuyamagiwa,rorondre
2020/11/22 6:19:20 PM CET,marabernardi,kazuyamagiwa,Antonio-Leitao
2020/11/22 7:18:54 PM CET,filco306,lordgrilo,rorondre
